iter	Logloss
0	0.6746733085
1	0.65718641
2	0.6404035329
3	0.6245608299
4	0.6094906577
5	0.5949896769
6	0.5812637544
7	0.5682013696
8	0.5557767049
9	0.5438974275
10	0.5325765654
11	0.5218292802
12	0.5120628227
13	0.502407573
14	0.49294433
15	0.4839955824
16	0.4755215034
17	0.4679933385
18	0.4608613242
19	0.4539330213
20	0.4470746006
21	0.4407574149
22	0.4348396057
23	0.4288348337
24	0.423376172
25	0.4178135653
26	0.4125818373
27	0.4078376029
28	0.4034154603
29	0.3983755411
30	0.393977532
31	0.3902702426
32	0.386508168
33	0.382734283
34	0.3792668783
35	0.3757933342
36	0.372580451
37	0.3694699463
38	0.366587152
39	0.3637507354
40	0.3609103421
41	0.3581499451
42	0.3557596942
43	0.3535314523
44	0.3513345216
45	0.3490702823
46	0.3467768774
47	0.3446950252
48	0.3428063726
49	0.3408555037
50	0.3387497223
51	0.3366162436
52	0.3347807111
53	0.3334093431
54	0.3321415157
55	0.3306330447
56	0.3291990902
57	0.3276876459
58	0.3262455688
59	0.3249755752
60	0.3235610276
61	0.3221596467
62	0.3209298107
63	0.3196816984
64	0.3185717822
65	0.3174495689
66	0.3163098009
67	0.3152667538
68	0.3141643534
69	0.3131641983
70	0.3121914306
71	0.3114018482
72	0.310588381
73	0.3096825388
74	0.3089065402
75	0.3081099292
76	0.3072706378
77	0.3065165365
78	0.3057304838
79	0.3049846202
80	0.304243149
81	0.3035521384
82	0.302947176
83	0.3023751193
84	0.3016061932
85	0.3010831205
86	0.3004378831
87	0.2999600336
88	0.299490331
89	0.2987682912
90	0.2980419532
91	0.29762774
92	0.2970862968
93	0.2966205868
94	0.2962082368
95	0.2958383017
96	0.2953834967
97	0.2950254646
98	0.294688893
99	0.2943197587
100	0.2939504849
101	0.2933939715
102	0.2929274361
103	0.2926020938
104	0.2923407704
105	0.2920003252
106	0.2915727902
107	0.2910559827
108	0.2906528671
109	0.2902318832
110	0.2897134714
111	0.2892796523
112	0.288916987
113	0.2885853403
114	0.2883380573
115	0.2880549765
116	0.2876277741
117	0.2872945949
118	0.287019192
119	0.2867273778
120	0.2865131514
121	0.2862021077
122	0.285860722
123	0.2856318333
124	0.285391104
125	0.2851622395
126	0.2848369274
127	0.2846470651
128	0.2844528442
129	0.2842657036
130	0.2839782479
131	0.2837286211
132	0.2835296498
133	0.28328897
134	0.2830658676
135	0.2828368901
136	0.2826560301
137	0.2823938063
138	0.2821623003
139	0.2819127644
140	0.2817167706
141	0.2814701298
142	0.2813213778
143	0.2811354338
144	0.2809797375
145	0.2808160554
146	0.2806495874
147	0.2805205689
148	0.2803114796
149	0.2800287692
150	0.2798847209
151	0.2797546171
152	0.2796067801
153	0.2793996296
154	0.2792162287
155	0.2790574534
156	0.2789240335
157	0.2787956235
158	0.2786265347
159	0.2784952566
160	0.2783366156
161	0.2782149737
162	0.2781069637
163	0.2779848814
164	0.2778235537
165	0.2776493267
166	0.2775375135
167	0.2774089014
168	0.2772894159
169	0.2771274118
170	0.2770168499
171	0.2768843332
172	0.2767447454
173	0.2766062953
174	0.2764826631
175	0.2763633937
176	0.2762477933
177	0.2761629228
178	0.2760900283
179	0.2759665913
180	0.2758547123
181	0.2757685381
182	0.2756573856
183	0.2755643703
184	0.2754439205
185	0.2753209752
186	0.2751963415
187	0.2751166252
188	0.2750534019
189	0.2749355867
190	0.2748490417
191	0.2747304031
192	0.274641368
193	0.2745378106
194	0.2744674973
195	0.2743700471
196	0.2742780743
197	0.2741709798
198	0.2741085618
199	0.2740270161
200	0.2739399104
201	0.2738382285
202	0.2737512176
203	0.2736501795
204	0.2735447147
205	0.2734448247
206	0.2733411536
207	0.2732605874
208	0.2731794907
209	0.2730927027
210	0.2730108202
211	0.2729179727
212	0.2728336978
213	0.2727810729
214	0.2726797791
215	0.2725068687
216	0.2724308009
217	0.2723518622
218	0.2722966501
219	0.2722266178
220	0.272133552
221	0.272064366
222	0.2720192791
223	0.2719290172
224	0.2718584394
225	0.2717659827
226	0.2716663127
227	0.271602867
228	0.2715380513
229	0.2714685314
230	0.2714207227
231	0.2713470947
232	0.2712757132
233	0.2712317785
234	0.2711658045
235	0.2711078415
236	0.2710448712
237	0.2708918814
238	0.270807356
239	0.2707611699
240	0.2706962086
241	0.2706143216
242	0.2705282504
243	0.2704575337
244	0.2703935389
245	0.270331063
246	0.2702632922
247	0.2701973214
248	0.2701257927
249	0.270065868
250	0.2700041052
251	0.2699328515
252	0.26975858
253	0.2697117283
254	0.2696351597
255	0.2695653148
256	0.2695220881
257	0.2694484463
258	0.2693887445
259	0.2693250736
260	0.2692574208
261	0.2692042809
262	0.2690356295
263	0.2689704116
264	0.2689187598
265	0.2688559525
266	0.268788343
267	0.2687155396
268	0.2686624643
269	0.2685958872
270	0.2685533776
271	0.2684932887
272	0.2684263064
273	0.2683518431
274	0.2682899039
275	0.2682381408
276	0.2681840237
277	0.2681313664
278	0.2680821142
279	0.2680428155
280	0.2680018889
281	0.2679449854
282	0.2678808277
283	0.2678261839
284	0.2677758998
285	0.2677109561
286	0.2676621416
287	0.2676153963
288	0.2675656715
289	0.2675345156
290	0.2674761872
291	0.2674328663
292	0.2673155651
293	0.267191341
294	0.2671282231
295	0.2670645701
296	0.2670062581
297	0.2669588235
298	0.2669105361
299	0.2668474082
300	0.266731436
301	0.2666744958
302	0.2665415793
303	0.2664906964
304	0.2664577221
305	0.2663366704
306	0.26630323
307	0.2662464995
308	0.2662110675
309	0.2661721994
310	0.2660972895
311	0.2659737758
312	0.2659305491
313	0.2658845041
314	0.2658467435
315	0.2658013149
316	0.2657731572
317	0.265702265
318	0.2656363147
319	0.2656132807
320	0.2655644507
321	0.2654559068
322	0.2654264516
323	0.265369457
324	0.2653165723
325	0.2652806905
326	0.2652416549
327	0.2652113062
328	0.2651595727
329	0.2651177738
330	0.2650493469
331	0.2649331935
332	0.264882404
333	0.2648253065
334	0.264781959
335	0.2647413879
336	0.264691369
337	0.2646514449
338	0.2646148641
339	0.2645862003
340	0.264548643
341	0.2644700346
342	0.2644291065
343	0.2644019055
344	0.2643433616
345	0.2643081954
346	0.2642308891
347	0.2641952022
348	0.2641605462
349	0.2641336404
350	0.2640383475
351	0.2640011069
352	0.2639317047
353	0.263895579
354	0.2638660748
355	0.2638282806
356	0.2637926745
357	0.2637625968
358	0.2637280792
359	0.2637102066
360	0.2636818224
361	0.2636293711
362	0.2635219129
363	0.2634882867
364	0.2634665674
365	0.2634101457
366	0.2633812912
367	0.2633568828
368	0.2632538532
369	0.2632242563
370	0.2631314766
371	0.2631053927
372	0.2630651119
373	0.2630331856
374	0.2630102783
375	0.2629698428
376	0.2629206178
377	0.2628789884
378	0.2628546407
379	0.2628195029
380	0.2627897196
381	0.2627545875
382	0.2627152816
383	0.2626787942
384	0.2626278528
385	0.2625776234
386	0.2625552675
387	0.2625123919
388	0.2624779278
389	0.2624351176
390	0.2623641976
391	0.2623385932
392	0.2623111877
393	0.2622893342
394	0.2622327871
395	0.2621878092
396	0.2621374023
397	0.2621076235
398	0.2620804271
399	0.2620503835
400	0.2620113147
401	0.2619812723
402	0.2619615426
403	0.2618857525
404	0.2618330313
405	0.2617846383
406	0.2617598696
